,location,company,jkid,title,salary,stars,reviews,post_date,pull_date
28,"San Francisco, CA",TaskRabbit,08ddb1563454d23f,Data Scientist,,53.4,8,26 days,2016-10-16 11:54:58.624010
29,"San Francisco, CA","Kanjoya, Inc.",7728f3ed7b0653a8,Data Scientist,,,,5 days,2016-10-16 11:54:58.624010
30,"San Francisco, CA",Twilio,78540a2dc40e5ca4,Data Scientist,,60.0,3,18 days,2016-10-16 11:54:58.624010
31,"San Bruno, CA",Google,4250350251a3b07b,"Quantitative Business Analyst, YouTube",,52.800003,1218,12 days,2016-10-16 11:54:58.624010
32,"San Francisco, CA",HomeSuite,a0eccbe302368b73,"Data Scientist, Data & Analytics",,,,22 days,2016-10-16 11:54:58.624010
33,"San Francisco, CA",Hoodline,38b145fb1ca779c1,Data Scientist,,,,19 days,2016-10-16 11:54:58.624010
34,"San Francisco, CA",The Climate Corporation,966a46d94b88016d,Quantitative Analyst (Seeds & Planting),,54.0,2,2 days,2016-10-16 11:54:58.624010
35,"San Francisco, CA",Grit Matters,97b4c8849b1ece7d,Data Scientist,,,,30+ days,2016-10-16 11:54:58.624010
36,"San Francisco, CA",Kabbage,cd9eb49eeebfbc3a,Data Scientist,,,,30+ days,2016-10-16 11:54:58.624010
37,"San Francisco, CA 94108 (Financial District area)",Third Eye,b7d16c2a4ee22ec5,Data Scientist,,43.2,3,25 days,2016-10-16 11:54:58.624010
38,"San Francisco, CA 94104 (Financial District area)",thredUP Inc,69d1b7a82c160b58,Data Scientist - Big Data Expert,,42.0,2,30+ days,2016-10-16 11:54:58.624010
39,"San Francisco, CA",Thomson Reuters,ff31e62b3cf4347c,Data Scientist,,51.0,1255,2 days,2016-10-16 11:54:58.624010
40,"San Francisco, CA","Rodan & Fields, LLC",90665cf63e238214,Data Scientist - Forecasting,,53.4,44,17 days,2016-10-16 11:54:58.624010
41,"San Francisco, CA",Trulia,eea914c8a4a70116,Analytics Implementation Specialist,,43.8,44,11 days,2016-10-16 11:54:58.624010
