23andMe,1.10,1.1 B,7/3/15,United States,Healthcare,"Google Ventures, New Enterprise Associates, MPM Capital",,,
OVH,1.10,1.1 B,7/3/15,France,Big Data,"Kohlberg Kravis Roberts & Co.,TowerBrook Capital Partners",,,
Anaplan,1.09,1.09 B,1/14/16,United States,Internet Software & Services,"Shasta Ventures, Granite Ventures, DFJ Growth Fund",,,
Jiuxian,1.05,1.05 B,7/30/15,China,eCommerce/Marketplace,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth",,,
Africa Internet Group,1.04,1.04 B,2/8/16,Nigeria,eCommerce/Marketplace,AXA,,,
AppDirect,1.04,1.04 B,10/7/15,United States,Internet Software & Services,"Foundry Group, iNovia Capital, StarVest Partners",,,
Udacity,1.00,1 B,11/11/15,United States,Internet Software & Services,"Andreessen Horowitz, CRV, Bertelsmann Digital Media Investments",,,
Liepin,1.00,1 B,6/28/16,China,HR & Workforce Management,"China Mobile, Matrix Partners China, Warbug Pincus",,,
Xuanyixia,1.00,1 B,11/24/15,China,Social,"Sequoia Capital China, Sina Weibo, Kleiner Perkins Caufield & Byers, Redpoint Ventures",,,
Medallia,1.00,1 B,7/21/15,United States,Internet Software & Services,Sequoia Capital,,,
Shazam,1.00,1 B,1/20/15,United Kingdom,Mobile Software & Services,"IDG Ventures, Kleiner Perkins Caufield & Byers, Buran Venture Capital",,,
Apus Group,1.00,1 B,1/16/15,China,Mobile Software & Services,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",,,
Docker,1.00,1 B,4/14/15,United States,Internet Software & Services,"Greylock Partners, Lightspeed Venture Partners, Lowercase Capital",,,
CloudFlare,1.00,1 B,12/1/12,United States,Cybersecurity,"New Enterprise Associates, Pelion Venture Partners, Union Square Ventures",,,
Eventbrite,1.00,1 B,3/13/14,United States,eCommerce/Marketplace,"Sequoia Capital, SoftTech VC, Tiger Global Management",,,
Lookout,1.00,1 B,8/13/14,United States,Cybersecurity,"Accel Partners, Greylock Partners, Lowercase Capital",,,
SimpliVity,1.00,1 B,3/10/15,United States,Big Data,"Accel Partners, Swisscom Ventures, Meritech Capital Partners",,,
Hootsuite,1.00,1 B,9/25/14,Canada,Internet Software & Services,"Accel Partners, OMERS Ventures, Insight Venture Partners",,,
Kabam,1.00,1 B,8/1/14,United States,Gaming,"Intel Capital, Redpoint Ventures, Pinnacle Ventures",,,
Funding Circle,1.00,1 B,4/23/15,United Kingdom,Fintech,"Accel Partners, Index Ventures, Ribbit Capital",,,
Tujia,1.00,1 B,6/17/15,China,eCommerce/Marketplace,"GGV Capital, QiMing Venture Partnersl",,,
China Rapid Finance,1.00,1 B,7/29/15,China,Fintech,"Broadline Capital, UBS",,,
Fanli,1.00,1 B,4/20/15,China,eCommerce/Marketplace,"QiMing Venture Partners, Steam boat Ventures",,,
Zomato Media,1.00,1 B,4/10/15,India,Social,"Sequoia Capital, VY Capital",,,
JustFab,1.00,1 B,8/29/14,United States,eCommerce/Marketplace,"Matrix Partners, Passport Capital, Rho Ventures",,,
Qualtrics,1.00,1 B,9/24/14,United States,Big Data,"Accel Partners, Insight Venture Partners, Sequoia Capital",,,
Mogujie,1.00,1 B,6/6/14,China,Social,"IDG Capital Partners, QiMing Venture Partners, Banyan Capital",,,
Illumio,1.00,1 B,4/14/14,United States,Cybersecurity,"Data Collective, Formation 8, General Catalyst Partners",,,
BeiBei,1.00,1 B,1/22/15,China,eCommerce/Marketplace,"Banyan Capital, New Horizon Capital, IDG Capital Partners",,,
Panshi,1.00,1 B,5/5/15,China,Adtech,"WI Harper Group, Fang Fund Partners, NewMarging Ventures",,,
InMobi,1.00,1 B,12/2/14,Singapore,Adtech,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",,,
iwjw.com,1.00,1 B,5/6/15,China,eCommerce/Marketplace,"Morningside Group, GGV Capital, Banyan Capital",,,
AVAST Software,1.00,1 B,2/5/14,Czech Republic,Cybersecurity,"Summit Partners, CVC Capital Partners",,,
MarkLogic,1.00,1 B,5/12/15,United States,Big Data,"Sequoia Capital, Tenaya Capital, Northgate Capital",,,
Fanduel,1.00,1 B,7/14/15,United States,Internet Software & Services,"Pentech Ventures, Bullpen Capital, KKR",,,
Zeta Interactive,1.00,1 B,7/15/15,United States,Internet Software & Services,"GSO Capital Partners, Franklin Square",,,
Zscaler,1.00,1 B,8/3/15,United States,Cybersecurity,"TPG Growth, Lightspeed Venture Partners",,,
Vox Media,1.00,1 B,8/12/15,United States,Media,"Accel Partners, Comcast Ventures, General Atlantic",,,
Kik Interactive,1.00,1 B,8/18/15,Canada,Social,"Union Square Ventures, RRE Ventures, Spark Capital",,,
Decolar,1.00,1 B,3/10/15,Argentina,Internet Software & Services,"Sequoia Capital, TPG capital, Accel Partners",,,
Carbon3D,1.00,1 B,8/20/15,United States,Hardware,"Google Ventures, Sequoia Capital, Wakefield Group",,,
Kabbage,1.00,1 B,10/14/15,United States,Fintech,"BlueRun Ventures, SV Angel, Mohr Davidow Ventures",,,
Datto,1.00,1 B,11/17/15,United States,Hardware,"Technology Crossover Ventures, General Catalyst Partners",,,
iTutorGroup,1.00,1 B,11/18/15,China,Ed Tech,"QiMing Venture Partners, Temasek Holdings, Silverlink Capital",,,
Gusto,1.00,1 B,12/18/15,United States,Fintech,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers",,,
Zhangyue,1.00,1 B,1/4/16,China,Hardware,"Guo Jin Capital, Alpha Animation & Culture",,,
Dada,1.00,1 B,12/31/15,China,eCommerce,"Sequoia Capital China, DST, Greenwoods Asset Management",,,
Rong360,1.00,1 B,10/12/15,China,Fintech,"Sequoia Capital China, Sailing Capital, Star VC",,,
ForeScout,1.00,1 B,12/9/15,United States,Cybersecurity,"Wellington Management, Accel Partners, Intel Capital",,,
MindMaze,1.00,1 B,2/17/16,Switzerland,VR/AR,Hinduja Group,,,
Souq,1.00,1 B,2/29/16,United Arab Emirates,eCommerce/Marketplace,"Tiger Global Management, Naspers, Baillie Gifford & Co.",,,
Mercari,1.00,1 B,3/2/16,Japan,eCommerce/Marketplace,"East Ventures, Global Brain Corporation, ITOCHU Technology Ventures",,,
Mia.com,1.00,1 B,9/8/15,China,eCommerce/Marketplace,"Sequoia Capital China, ZhenFund, K2 Ventures",,,
Xiaohongshu,1.00,1 B,3/31/16,China,eCommerce/Marketplace,"GGV Capital, ZhenFund, Tencent",,,
Icarbonx,1.00,1 B,4/12/16,China,Healthcare,"Tencent, Vcanbio",,,
Age of Learning,1.00,1 B,5/3/16,United States,Edtech,Iconiq Capital,,,
Zoox,1.00,1 B,5/27/16,United States,Auto Tech,"AID Partners, Draper Fisher Jurvetson",,,
Glassdoor,1.00,1 B,6/3/16,United States,Internet Software & Services,"T. Rowe Price, Battery Ventures, Tiger Global Management",,,
Cylance,1.00,1 B,6/8/16,United States,Cybersecurity,"In-Q-Tel, Dell Ventures, Blackstone Group",,,
SMS Assist,1.00,1 B,6/13/16,United States,Internet Software & Services,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital",,,
Stratified Medical,1.00,1 B,6/2/15,United Kingdom,Healthcare,Woodford Investment Management,,,
Mofang Gongyu,1.00,1 B,4/13/16,China,Facilities,"Warburg Pincus, Aviation Industry Corporation of China",,,
UBTECH Robotics,1.00,1 B,7/26/16,China,Robotics,"CDH Investments, Goldstone Investments, Qiming Venture Partners",,,
Deliveroo,1.00,1 B,8/5/16,United Kingdom,On-Demand,"Index, DST Global, Accel Partners",,,
Compass,1.00,1 B,8/31/16,United States,Internet Software & Services,"Founders Fund, Thrive Capital, Wellington Management",,,
Guazi,1.00,1 B,3/12/16,China,eCommerce/Marketplace,"Sequoia Capital China, GX Capital",,,
51Xinyongka,1.00,1 B,9/21/16,China,Fintech,"GGV Capital, JD.com, Meridian Capital China",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
